iter	Logloss
0	0.6561076254
1	0.6194272243
2	0.5947448496
3	0.571900991
4	0.5579129778
5	0.5441084365
6	0.5317569825
7	0.5244149671
8	0.5146263023
9	0.5055960075
10	0.4935646845
11	0.4842157344
12	0.4808209303
13	0.4762826138
14	0.4682336301
15	0.4651353195
16	0.461420491
17	0.4529615799
18	0.4471434683
19	0.4440162532
20	0.4377103319
21	0.4332235776
22	0.4299094349
23	0.4292452624
24	0.4197063798
25	0.4124549189
26	0.4074582061
27	0.4056599423
28	0.4048696379
29	0.4025183383
30	0.3935025049
31	0.3874095422
32	0.3868126239
33	0.3866472478
34	0.3845981758
35	0.3828296016
36	0.3797829433
37	0.375465254
38	0.372812318
39	0.3721751883
40	0.3672608631
41	0.365898788
42	0.3647591528
43	0.3611941846
44	0.3560852361
45	0.3553266115
46	0.3537091106
47	0.3529398308
48	0.3461114577
49	0.3459533349
50	0.345402011
51	0.3423343369
52	0.340034856
53	0.3335337747
54	0.3321924641
55	0.3288247829
56	0.3267730857
57	0.3255190851
58	0.3237481278
59	0.322488874
60	0.321738196
61	0.3168251177
62	0.3162972511
63	0.3150756224
64	0.3104627163
65	0.3078911198
66	0.3068455977
67	0.3036832208
68	0.3004109452
69	0.2977243378
70	0.2972168256
71	0.2936612238
72	0.2914073266
73	0.2892556723
74	0.2881918405
75	0.2865501804
76	0.285489802
77	0.2811192823
78	0.2768765876
79	0.2741821884
80	0.2726236163
81	0.2703010567
82	0.2690041972
83	0.2669098321
84	0.2664712448
85	0.2647660045
86	0.2618824228
87	0.2612466526
88	0.2603199596
89	0.2561403231
90	0.2550125584
91	0.2513035722
92	0.2506315975
93	0.2486120026
94	0.2447062113
95	0.2433711035
96	0.242388869
97	0.2383820323
98	0.2379946116
99	0.2354653973
100	0.234263711
101	0.2337328588
102	0.2337283814
103	0.2332377829
104	0.2327244741
105	0.2310979085
106	0.2278424781
107	0.2274681636
108	0.2264607812
109	0.2255757313
110	0.2247980395
111	0.2235592018
112	0.2209026089
113	0.2180515592
114	0.2151776101
115	0.2146598228
116	0.2131497124
117	0.2126906556
118	0.2109153482
119	0.210692069
120	0.2103485185
121	0.209571902
122	0.2092585959
123	0.2082392713
124	0.2053442913
125	0.2038607194
126	0.2032654555
127	0.2017773077
128	0.2007227689
129	0.1990435617
130	0.1990331789
131	0.1976028649
132	0.1958618341
133	0.1951894411
134	0.1948756254
135	0.1938619832
136	0.1931233898
137	0.1923167527
138	0.1914666029
139	0.1907497827
140	0.1898115068
141	0.1880989075
142	0.1861508172
143	0.1860872099
144	0.1849138887
145	0.1841023639
146	0.1832437731
147	0.1809381555
148	0.180619
149	0.180226914
150	0.1800391012
151	0.1781854607
152	0.1779046989
153	0.177552627
154	0.1767654288
155	0.1763023423
156	0.1758042504
157	0.1739749964
158	0.1739050639
159	0.1736618366
160	0.1729957417
161	0.1725962217
162	0.1711976265
163	0.1700585563
164	0.1694334889
165	0.168676594
166	0.1684753587
167	0.1682589275
168	0.1679120305
169	0.1666643434
170	0.1665846748
171	0.1662289824
172	0.164733635
173	0.1639089732
174	0.163825899
175	0.1632898127
176	0.1632533549
177	0.1631497207
178	0.1615179767
179	0.1607960469
180	0.1600411783
181	0.1598999314
182	0.1597218653
183	0.158826106
184	0.1584032273
185	0.1576607483
186	0.1560949179
187	0.1549382852
188	0.1548608977
189	0.154253819
190	0.1528942685
191	0.1511560613
192	0.1503489901
193	0.1497826666
194	0.1489866782
195	0.1482481314
196	0.1476169617
197	0.1472817481
198	0.1456986255
199	0.1449184948
200	0.1445855321
201	0.1433422403
202	0.1426004357
203	0.142364042
204	0.1422321667
205	0.1420125162
206	0.1414569934
207	0.1395023595
208	0.1382110661
209	0.1379294774
210	0.1366362405
211	0.1364994115
212	0.1360529168
213	0.1359569742
214	0.1350083003
215	0.1344976035
216	0.1333671102
217	0.1332995211
218	0.1315143367
219	0.1310088468
220	0.1299299431
221	0.1297447736
222	0.1294791165
223	0.1284476438
224	0.1276402153
225	0.1272901041
226	0.1272182643
227	0.1267306717
228	0.1263309559
229	0.1258770362
230	0.1258593104
231	0.1250092285
232	0.1248606274
233	0.124220289
234	0.1228282456
235	0.122433507
236	0.1212375342
237	0.1206432735
238	0.1199231088
239	0.1190644854
240	0.1178148664
241	0.1171863015
242	0.1166457551
243	0.1164652198
244	0.1162407013
245	0.1153759339
246	0.1144458607
247	0.1133587374
248	0.1131044575
249	0.1125354755
